TEST,ANSWER,TIME
local_tests/generated\0.txt,5,0.11699938774108887
local_tests/generated\1.txt,-1,0.11491870880126953
local_tests/generated\2.txt,11,0.10399150848388672
local_tests/generated\3.txt,15,0.11285781860351562
local_tests/generated\4.txt,6,0.12599682807922363
local_tests/generated\5.txt,3,0.14935827255249023
local_tests/generated\6.txt,8,0.21245193481445312
local_tests/generated\7.txt,11,0.16578888893127441
local_tests/generated\8.txt,-1,0.1769869327545166
local_tests/generated\9.txt,7,0.13478684425354004
local_tests/generated\10.txt,4,0.1413891315460205
local_tests/generated\11.txt,8,0.1590123176574707
local_tests/generated\12.txt,7,0.13787627220153809
local_tests/generated\13.txt,13,0.11503839492797852
local_tests/generated\14.txt,10,0.1509110927581787
local_tests/generated\15.txt,-1,0.32660651206970215
local_tests/generated\16.txt,12,0.13187170028686523
local_tests/generated\17.txt,4,0.10498714447021484
local_tests/generated\18.txt,7,0.13298654556274414
local_tests/generated\19.txt,7,0.11167216300964355
local_tests/generated\20.txt,13,0.1818833351135254
local_tests/generated\21.txt,4,0.14856529235839844
local_tests/generated\22.txt,5,0.1301431655883789
local_tests/generated\23.txt,4,0.10199737548828125
local_tests/generated\24.txt,4,0.09799480438232422
local_tests/generated\25.txt,5,0.08799624443054199
local_tests/generated\26.txt,1,0.07598733901977539
local_tests/generated\27.txt,17,0.0923163890838623
local_tests/generated\28.txt,15,0.08399176597595215
local_tests/generated\29.txt,10,0.07884621620178223
local_tests/generated\30.txt,-1,0.07258939743041992
local_tests/generated\31.txt,4,0.07877516746520996
local_tests/generated\32.txt,6,0.07799077033996582
local_tests/generated\33.txt,11,0.08998942375183105
local_tests/generated\34.txt,6,0.07299590110778809
local_tests/generated\35.txt,8,0.0839991569519043
local_tests/generated\36.txt,9,0.08151102066040039
local_tests/generated\37.txt,8,0.07699298858642578
local_tests/generated\38.txt,10,0.08265352249145508
local_tests/generated\39.txt,13,0.07533526420593262
local_tests/generated\40.txt,5,0.08099055290222168
