TEST,ANSWER,TIME
local_tests/generated\0.txt,5,0.10498690605163574
local_tests/generated\1.txt,-1,0.15425443649291992
local_tests/generated\2.txt,11,0.11200475692749023
local_tests/generated\3.txt,15,0.10386157035827637
local_tests/generated\4.txt,6,0.13398957252502441
local_tests/generated\5.txt,3,0.12307310104370117
local_tests/generated\6.txt,8,0.11700224876403809
local_tests/generated\7.txt,11,0.17075419425964355
local_tests/generated\8.txt,-1,0.17199492454528809
local_tests/generated\9.txt,7,0.16099047660827637
local_tests/generated\10.txt,4,0.1500530242919922
local_tests/generated\11.txt,8,0.2835984230041504
local_tests/generated\12.txt,7,0.15256333351135254
local_tests/generated\13.txt,13,0.13799571990966797
local_tests/generated\14.txt,10,0.14973974227905273
local_tests/generated\15.txt,-1,0.1508781909942627
local_tests/generated\16.txt,12,0.13500189781188965
local_tests/generated\17.txt,4,0.11300969123840332
local_tests/generated\18.txt,7,0.09899306297302246
local_tests/generated\19.txt,7,0.11400055885314941
local_tests/generated\20.txt,13,0.11898565292358398
local_tests/generated\21.txt,4,0.12503719329833984
local_tests/generated\22.txt,5,0.1319880485534668
local_tests/generated\23.txt,4,0.1293809413909912
local_tests/generated\24.txt,4,0.12300539016723633
local_tests/generated\25.txt,5,0.1095578670501709
local_tests/generated\26.txt,1,0.1269989013671875
local_tests/generated\27.txt,17,0.1331477165222168
local_tests/generated\28.txt,15,0.1319899559020996
local_tests/generated\29.txt,10,0.13598299026489258
local_tests/generated\30.txt,-1,0.18094801902770996
local_tests/generated\31.txt,4,0.13199710845947266
local_tests/generated\32.txt,6,0.11259317398071289
local_tests/generated\33.txt,11,0.13299059867858887
local_tests/generated\34.txt,6,0.12932038307189941
local_tests/generated\35.txt,8,0.15003037452697754
local_tests/generated\36.txt,9,0.1069040298461914
local_tests/generated\37.txt,8,0.13829350471496582
local_tests/generated\38.txt,10,0.1289958953857422
local_tests/generated\39.txt,13,0.10924673080444336
local_tests/generated\40.txt,5,0.11699366569519043
local_tests/generated\41.txt,6,0.14840936660766602
local_tests/generated\42.txt,4,0.10671830177307129
local_tests/generated\43.txt,4,0.10898065567016602
local_tests/generated\44.txt,13,0.13598990440368652
local_tests/generated\45.txt,6,0.11099553108215332
local_tests/generated\46.txt,-1,0.12900090217590332
local_tests/generated\47.txt,9,0.15472888946533203
local_tests/generated\48.txt,-1,0.11019372940063477
local_tests/generated\49.txt,11,0.09313249588012695
local_tests/generated\50.txt,4,0.12370085716247559
local_tests/generated\51.txt,11,0.10845112800598145
local_tests/generated\52.txt,12,0.121673583984375
local_tests/generated\53.txt,7,0.10314774513244629
local_tests/generated\54.txt,13,0.1512892246246338
local_tests/generated\55.txt,5,0.12799763679504395
local_tests/generated\56.txt,4,0.11325216293334961
local_tests/generated\57.txt,15,0.10199356079101562
local_tests/generated\58.txt,12,0.11725521087646484
local_tests/generated\59.txt,3,0.11099839210510254
local_tests/generated\60.txt,20,0.12637042999267578
local_tests/generated\61.txt,5,0.13799548149108887
local_tests/generated\62.txt,15,0.12199687957763672
local_tests/generated\63.txt,-1,0.1219935417175293
local_tests/generated\64.txt,6,0.12801289558410645
local_tests/generated\65.txt,10,0.12580132484436035
local_tests/generated\66.txt,-1,0.15298938751220703
local_tests/generated\67.txt,6,0.11771273612976074
local_tests/generated\68.txt,12,0.11550331115722656
local_tests/generated\69.txt,5,0.13217711448669434
local_tests/generated\70.txt,6,0.12000799179077148
local_tests/generated\71.txt,2,0.11645841598510742
local_tests/generated\72.txt,6,0.11777234077453613
local_tests/generated\73.txt,-1,0.13082599639892578
local_tests/generated\74.txt,7,0.1209867000579834
local_tests/generated\75.txt,3,0.11713266372680664
local_tests/generated\76.txt,6,0.13494396209716797
local_tests/generated\77.txt,11,0.11705446243286133
local_tests/generated\78.txt,7,0.11605048179626465
local_tests/generated\79.txt,8,0.12894058227539062
local_tests/generated\80.txt,13,0.11818289756774902
local_tests/generated\81.txt,-1,0.12578511238098145
local_tests/generated\82.txt,-1,0.19266605377197266
local_tests/generated\83.txt,6,0.10500049591064453
local_tests/generated\84.txt,10,0.10706210136413574
local_tests/generated\85.txt,2,0.11699867248535156
local_tests/generated\86.txt,14,0.1190023422241211
local_tests/generated\87.txt,8,0.12199759483337402
local_tests/generated\88.txt,7,0.12317848205566406
local_tests/generated\89.txt,9,0.11786818504333496
local_tests/generated\90.txt,6,0.12522077560424805
local_tests/generated\91.txt,3,0.10730981826782227
local_tests/generated\92.txt,14,0.10764431953430176
local_tests/generated\93.txt,6,0.14726996421813965
local_tests/generated\94.txt,5,0.10877704620361328
local_tests/generated\95.txt,8,0.10300421714782715
local_tests/generated\96.txt,8,0.09499382972717285
local_tests/generated\97.txt,11,0.11600208282470703
local_tests/generated\98.txt,14,0.13353371620178223
local_tests/generated\99.txt,7,0.10698986053466797
local_tests/generated\100.txt,8,0.19697976112365723
local_tests/generated\101.txt,-1,0.12699294090270996
local_tests/generated\102.txt,3,0.10399794578552246
local_tests/generated\103.txt,13,0.10657882690429688
local_tests/generated\104.txt,8,0.10700464248657227
local_tests/generated\105.txt,3,0.09824967384338379
local_tests/generated\106.txt,14,0.13598871231079102
local_tests/generated\107.txt,11,0.12479043006896973
local_tests/generated\108.txt,10,0.12899231910705566
local_tests/generated\109.txt,4,0.10384202003479004
local_tests/generated\110.txt,7,0.14100122451782227
local_tests/generated\111.txt,13,0.144850492477417
local_tests/generated\112.txt,17,0.10999512672424316
local_tests/generated\113.txt,12,0.1230001449584961
local_tests/generated\114.txt,10,0.1488969326019287
local_tests/generated\115.txt,4,0.13999509811401367
local_tests/generated\116.txt,8,0.21460342407226562
local_tests/generated\117.txt,4,0.12271261215209961
local_tests/generated\118.txt,13,0.11700105667114258
local_tests/generated\119.txt,14,0.11670875549316406
local_tests/generated\120.txt,-1,0.11999750137329102
local_tests/generated\121.txt,8,0.12913966178894043
local_tests/generated\122.txt,3,0.13099384307861328
local_tests/generated\123.txt,10,0.12542486190795898
local_tests/generated\124.txt,3,0.12499213218688965
local_tests/generated\125.txt,17,0.12645530700683594
local_tests/generated\126.txt,14,0.1190032958984375
local_tests/generated\127.txt,16,0.10289216041564941
local_tests/generated\128.txt,9,0.10500121116638184
local_tests/generated\129.txt,-1,0.1538708209991455
local_tests/generated\130.txt,3,0.13834333419799805
local_tests/generated\131.txt,16,0.12152695655822754
local_tests/generated\132.txt,6,0.12026214599609375
local_tests/generated\133.txt,17,0.11699414253234863
local_tests/generated\134.txt,-1,0.12156057357788086
local_tests/generated\135.txt,-1,0.14899063110351562
local_tests/generated\136.txt,5,0.10981535911560059
local_tests/generated\137.txt,11,0.12100100517272949
local_tests/generated\138.txt,13,0.13799810409545898
local_tests/generated\139.txt,8,0.13599324226379395
local_tests/generated\140.txt,5,0.1129751205444336
local_tests/generated\141.txt,14,0.12971019744873047
local_tests/generated\142.txt,11,0.13157343864440918
local_tests/generated\143.txt,-1,0.1341104507446289
local_tests/generated\144.txt,-1,0.13222289085388184
local_tests/generated\145.txt,-1,0.15799212455749512
local_tests/generated\146.txt,4,0.11899423599243164
local_tests/generated\147.txt,-1,0.13585519790649414
local_tests/generated\148.txt,14,0.11664295196533203
local_tests/generated\149.txt,4,0.1300060749053955
local_tests/generated\150.txt,3,0.12088680267333984
local_tests/generated\151.txt,13,0.1599888801574707
local_tests/generated\152.txt,8,0.14501452445983887
local_tests/generated\153.txt,12,0.11139941215515137
local_tests/generated\154.txt,11,0.12185025215148926
local_tests/generated\155.txt,9,0.12600159645080566
local_tests/generated\156.txt,11,0.11699271202087402
local_tests/generated\157.txt,12,0.1183159351348877
local_tests/generated\158.txt,13,0.13025832176208496
local_tests/generated\159.txt,5,0.11818909645080566
local_tests/generated\160.txt,10,0.12371349334716797
local_tests/generated\161.txt,7,0.13277173042297363
local_tests/generated\162.txt,7,0.1346747875213623
local_tests/generated\163.txt,12,0.1280221939086914
local_tests/generated\164.txt,-1,0.11682462692260742
local_tests/generated\165.txt,12,0.1079874038696289
local_tests/generated\166.txt,7,0.11700201034545898
local_tests/generated\167.txt,4,0.09798812866210938
local_tests/generated\168.txt,10,0.11498832702636719
local_tests/generated\169.txt,-1,0.11800241470336914
local_tests/generated\170.txt,5,0.10963702201843262
local_tests/generated\171.txt,9,0.12849879264831543
local_tests/generated\172.txt,8,0.13535022735595703
local_tests/generated\173.txt,9,0.1299910545349121
local_tests/generated\174.txt,-1,0.12561702728271484
local_tests/generated\175.txt,6,0.09565472602844238
local_tests/generated\176.txt,12,0.1314525604248047
local_tests/generated\177.txt,12,0.09999275207519531
local_tests/generated\178.txt,8,0.10786581039428711
local_tests/generated\179.txt,9,0.11698698997497559
local_tests/generated\180.txt,2,0.12609195709228516
local_tests/generated\181.txt,4,0.12776446342468262
local_tests/generated\182.txt,8,0.1408078670501709
local_tests/generated\183.txt,3,0.17357707023620605
local_tests/generated\184.txt,13,0.09698987007141113
local_tests/generated\185.txt,2,0.1130378246307373
local_tests/generated\186.txt,9,0.12839818000793457
local_tests/generated\187.txt,3,0.20182561874389648
local_tests/generated\188.txt,11,0.11561059951782227
local_tests/generated\189.txt,-1,0.1239938735961914
local_tests/generated\190.txt,9,0.11761021614074707
local_tests/generated\191.txt,14,0.12738633155822754
local_tests/generated\192.txt,6,0.12346982955932617
local_tests/generated\193.txt,2,0.11522483825683594
local_tests/generated\194.txt,-1,0.10360026359558105
local_tests/generated\195.txt,11,0.1429886817932129
local_tests/generated\196.txt,9,0.10799551010131836
local_tests/generated\197.txt,10,0.1458606719970703
local_tests/generated\198.txt,-1,0.13238215446472168
local_tests/generated\199.txt,10,0.11855936050415039
local_tests/generated\200.txt,16,0.1273508071899414
local_tests/generated\201.txt,11,0.11059832572937012
local_tests/generated\202.txt,-1,0.13051390647888184
local_tests/generated\203.txt,8,0.10796642303466797
local_tests/generated\204.txt,8,0.12799501419067383
local_tests/generated\205.txt,5,0.1219933032989502
local_tests/generated\206.txt,-1,0.11642313003540039
local_tests/generated\207.txt,6,0.1242971420288086
local_tests/generated\208.txt,13,0.1419849395751953
local_tests/generated\209.txt,8,0.11071157455444336
local_tests/generated\210.txt,14,0.12799978256225586
local_tests/generated\211.txt,10,0.10364723205566406
local_tests/generated\212.txt,8,0.1289842128753662
local_tests/generated\213.txt,12,0.12668395042419434
local_tests/generated\214.txt,12,0.11498713493347168
local_tests/generated\215.txt,9,0.11407971382141113
local_tests/generated\216.txt,15,0.1340487003326416
local_tests/generated\217.txt,4,0.13097929954528809
local_tests/generated\218.txt,10,0.1266489028930664
local_tests/generated\219.txt,15,0.12399005889892578
local_tests/generated\220.txt,4,0.12316656112670898
local_tests/generated\221.txt,10,0.11899566650390625
local_tests/generated\222.txt,13,0.1169884204864502
local_tests/generated\223.txt,5,0.12966132164001465
local_tests/generated\224.txt,11,0.14323973655700684
local_tests/generated\225.txt,7,0.2029130458831787
local_tests/generated\226.txt,5,0.11098694801330566
local_tests/generated\227.txt,17,0.12077927589416504
local_tests/generated\228.txt,8,0.11999368667602539
local_tests/generated\229.txt,9,0.11139488220214844
local_tests/generated\230.txt,3,0.14299893379211426
local_tests/generated\231.txt,14,0.1387929916381836
local_tests/generated\232.txt,7,0.12142801284790039
local_tests/generated\233.txt,9,0.11546921730041504
local_tests/generated\234.txt,11,0.11467504501342773
local_tests/generated\235.txt,7,0.12289953231811523
local_tests/generated\236.txt,8,0.11355781555175781
local_tests/generated\237.txt,-1,0.14688348770141602
local_tests/generated\238.txt,13,0.11899876594543457
local_tests/generated\239.txt,-1,0.1219935417175293
local_tests/generated\240.txt,10,0.1224982738494873
local_tests/generated\241.txt,13,0.12579631805419922
local_tests/generated\242.txt,3,0.11443662643432617
local_tests/generated\243.txt,23,0.13599681854248047
local_tests/generated\244.txt,8,0.12030696868896484
local_tests/generated\245.txt,15,0.13929462432861328
local_tests/generated\246.txt,5,0.1065065860748291
local_tests/generated\247.txt,-1,0.13199448585510254
local_tests/generated\248.txt,-1,0.12821173667907715
local_tests/generated\249.txt,1,0.09886837005615234
local_tests/generated\250.txt,11,0.1049957275390625
local_tests/generated\251.txt,5,0.09798693656921387
local_tests/generated\252.txt,12,0.11787629127502441
local_tests/generated\253.txt,2,0.10599374771118164
local_tests/generated\254.txt,4,0.1210179328918457
