TEST,ANSWER,TIME
local_tests/generated\0.txt,4,0.160722017288208
local_tests/generated\1.txt,16,0.1656477451324463
local_tests/generated\2.txt,-1,0.06499075889587402
local_tests/generated\3.txt,9,0.15127277374267578
local_tests/generated\4.txt,5,0.20060253143310547
local_tests/generated\5.txt,10,0.11599493026733398
local_tests/generated\6.txt,17,0.14354777336120605
local_tests/generated\7.txt,-1,0.0729978084564209
local_tests/generated\8.txt,5,0.17161917686462402
local_tests/generated\9.txt,9,0.11001443862915039
local_tests/generated\10.txt,11,0.08158373832702637
local_tests/generated\11.txt,5,0.1350085735321045
local_tests/generated\12.txt,12,0.18356943130493164
local_tests/generated\13.txt,6,0.12101054191589355
local_tests/generated\14.txt,6,0.10762429237365723
local_tests/generated\15.txt,9,0.14300107955932617
local_tests/generated\16.txt,8,0.10700631141662598
local_tests/generated\17.txt,12,0.12601089477539062
local_tests/generated\18.txt,12,0.12051844596862793
local_tests/generated\19.txt,13,0.15661025047302246
local_tests/generated\20.txt,15,0.18599176406860352
local_tests/generated\21.txt,15,0.09762382507324219
local_tests/generated\22.txt,9,0.16567611694335938
local_tests/generated\23.txt,3,0.14720463752746582
local_tests/generated\24.txt,8,0.14657187461853027
local_tests/generated\25.txt,3,0.137007474899292
local_tests/generated\26.txt,-1,0.07299160957336426
local_tests/generated\27.txt,4,0.10801362991333008
local_tests/generated\28.txt,-1,0.11257314682006836
local_tests/generated\29.txt,8,0.10600709915161133
local_tests/generated\30.txt,9,0.11559319496154785
local_tests/generated\31.txt,8,0.15860676765441895
local_tests/generated\32.txt,14,0.11301422119140625
local_tests/generated\33.txt,-1,0.0739893913269043
local_tests/generated\34.txt,7,0.14061355590820312
local_tests/generated\35.txt,14,0.11461806297302246
local_tests/generated\36.txt,6,0.1209862232208252
local_tests/generated\37.txt,7,0.1328730583190918
local_tests/generated\38.txt,1,0.0719902515411377
local_tests/generated\39.txt,5,0.1766054630279541
local_tests/generated\40.txt,9,0.19164371490478516
local_tests/generated\41.txt,13,0.11601781845092773
local_tests/generated\42.txt,3,0.1465930938720703
local_tests/generated\43.txt,5,0.12699532508850098
local_tests/generated\44.txt,15,0.1677381992340088
local_tests/generated\45.txt,16,0.12361264228820801
local_tests/generated\46.txt,7,0.12699341773986816
local_tests/generated\47.txt,16,0.1479787826538086
local_tests/generated\48.txt,-1,0.12801718711853027
local_tests/generated\49.txt,14,0.13501667976379395
local_tests/generated\50.txt,15,0.13263320922851562
local_tests/generated\51.txt,9,0.1319897174835205
local_tests/generated\52.txt,2,0.1616501808166504
local_tests/generated\53.txt,4,0.16860198974609375
local_tests/generated\54.txt,-1,0.0710000991821289
local_tests/generated\55.txt,3,0.07700920104980469
local_tests/generated\56.txt,10,0.19464707374572754
local_tests/generated\57.txt,9,0.12264060974121094
local_tests/generated\58.txt,10,0.1907186508178711
local_tests/generated\59.txt,11,0.13401484489440918
local_tests/generated\60.txt,6,0.14060068130493164
local_tests/generated\61.txt,9,0.19058609008789062
local_tests/generated\62.txt,10,0.12299370765686035
local_tests/generated\63.txt,7,0.18165016174316406
local_tests/generated\64.txt,2,0.13638782501220703
local_tests/generated\65.txt,12,0.1569974422454834
local_tests/generated\66.txt,7,0.1372535228729248
local_tests/generated\67.txt,3,0.20063567161560059
local_tests/generated\68.txt,9,0.1379852294921875
local_tests/generated\69.txt,3,0.17605948448181152
local_tests/generated\70.txt,10,0.1312878131866455
local_tests/generated\71.txt,4,0.16304302215576172
local_tests/generated\72.txt,8,0.12052512168884277
local_tests/generated\73.txt,4,0.16462397575378418
local_tests/generated\74.txt,15,0.14692950248718262
local_tests/generated\75.txt,8,0.18746256828308105
local_tests/generated\76.txt,7,0.11540865898132324
local_tests/generated\77.txt,13,0.11699104309082031
local_tests/generated\78.txt,10,0.14200615882873535
local_tests/generated\79.txt,10,0.16457366943359375
local_tests/generated\80.txt,3,0.17300987243652344
local_tests/generated\81.txt,6,0.17750000953674316
local_tests/generated\82.txt,2,0.1551673412322998
local_tests/generated\83.txt,4,0.1926743984222412
local_tests/generated\84.txt,1,0.15399765968322754
local_tests/generated\85.txt,5,0.19664978981018066
local_tests/generated\86.txt,-1,0.07959675788879395
local_tests/generated\87.txt,9,0.15500974655151367
local_tests/generated\88.txt,9,0.12987327575683594
local_tests/generated\89.txt,9,0.1289973258972168
local_tests/generated\90.txt,4,0.1486508846282959
local_tests/generated\91.txt,4,0.16168975830078125
local_tests/generated\92.txt,9,0.14401721954345703
local_tests/generated\93.txt,-1,0.06982254981994629
local_tests/generated\94.txt,8,0.15200424194335938
local_tests/generated\95.txt,12,0.14257001876831055
local_tests/generated\96.txt,3,0.16560077667236328
local_tests/generated\97.txt,-1,0.0670018196105957
local_tests/generated\98.txt,10,0.11806845664978027
local_tests/generated\99.txt,6,0.1980905532836914
local_tests/generated\100.txt,11,0.08700346946716309
local_tests/generated\101.txt,3,0.07098913192749023
local_tests/generated\102.txt,3,0.1276853084564209
local_tests/generated\103.txt,9,0.08399319648742676
local_tests/generated\104.txt,9,0.1386549472808838
local_tests/generated\105.txt,10,0.16157078742980957
local_tests/generated\106.txt,3,0.13800811767578125
local_tests/generated\107.txt,5,0.14472365379333496
local_tests/generated\108.txt,6,0.15700864791870117
local_tests/generated\109.txt,20,0.12306547164916992
local_tests/generated\110.txt,3,0.14101219177246094
local_tests/generated\111.txt,8,0.1120152473449707
local_tests/generated\112.txt,11,0.16047930717468262
local_tests/generated\113.txt,10,0.14351534843444824
local_tests/generated\114.txt,12,0.13570833206176758
local_tests/generated\115.txt,10,0.16283750534057617
local_tests/generated\116.txt,5,0.13098645210266113
local_tests/generated\117.txt,4,0.15037322044372559
